view,kind,lag,layer,head,value,count
post_rope,k,2,22,0,0.6923940281073252,18
post_rope,k,2,22,1,0.7930279672145844,18
post_rope,k,2,22,2,0.8214802609549628,18
post_rope,k,2,22,3,0.8136721319622464,18
post_rope,k,2,23,-1,0.7816864252090454,72
post_rope,k,2,23,0,0.821536123752594,18
post_rope,k,2,23,1,0.7237664527363248,18
post_rope,k,2,23,2,0.7552877929475572,18
post_rope,k,2,23,3,0.8261553446451823,18
post_rope,k,2,24,-1,0.7775266369183859,72
post_rope,k,2,24,0,0.6940214898851182,18
post_rope,k,2,24,1,0.8199630743927426,18
post_rope,k,2,24,2,0.8145192431079017,18
post_rope,k,2,24,3,0.7816027502218882,18
post_rope,k,2,25,-1,0.7667552265856001,72
post_rope,k,2,25,0,0.8282093769974179,18
post_rope,k,2,25,1,0.7604881144232221,18
post_rope,k,2,25,2,0.701651887761222,18
post_rope,k,2,25,3,0.7766715023252699,18
post_rope,k,2,26,-1,0.710764209429423,72
